,Music Training Index (max =49),Student,Age,Gender
0,31,s4603478,22,Female
1,34,s1023970,23,Male
2,32,s1042459,21,Female
3,38,s1034694,27,Male
4,36,s1047701,22,Female
5,9,s4715098,21,Male
6,20,s4349792,25,Male
7,9,s1057570,23,Male
8,9,u179070,63,Male
9,9,s1019474,28,Male
10,22,s1028966,22,Female
11,9,s1041699,23,Female
12,35,s1040779,26,Male
13,34,s4805542,20,Male
14,38,s4807014,23,Male
15,38,S4497031,24,Male
16,28,s4607112,23,Male
17,26,s1014974,25,Female
18,27,s4490703,24,Male
19,14,s4332199,24,Female
20,33,s1029961,22,Male
21,42,u724134,43,Female
