id,SC0,Duration (in seconds),Q3,MTI,Age,Gender
s4603478,5,303,"I know how it sounds, but I do not know how it works",31,22,Female
s1042459,15,392,"I know how it sounds, but I do not know how it works",32,21,Female
s1047701,9,316,I have made music with a synthesizer before,36,22,Female
s4715098,10,225,"I know how it sounds, but I do not know how it works",9,21,Male
s4349792,12,192,I do not know what a synthesizer is,20,25,Male
s1057570,16,647,"I know how it sounds, but I do not know how it works",9,23,Male
s1019474,12,377,I do not know what a synthesizer is,9,28,Male
u179070,13,412,I have made music with a synthesizer before,9,63,Male
s1028966,13,267,"I know how it works, but I cannot use/play it",22,22,Female
s4607112,15,370,"I know how it works, but I cannot use/play it",28,23,Male
s1041699,13,364,"I know how it sounds, but I do not know how it works",9,23,Female
s1040779,16,398,"I know how it works, but I cannot use/play it",35,26,Male
s4805542,10,480,I am able to create sounds on a synthesizer,34,20,Male
s1014974,12,340,"I know how it works, but I cannot use/play it",26,25,Female
s4490703,11,460,"I know how it sounds, but I do not know how it works",27,24,Male
s4332199,12,636,"I know how it sounds, but I do not know how it works",14,24,Female
